Week,RSF
1,63
2,63
3,59
4,54
5,58
6,59
7,58
8,54
9,58
10,45
11,57
12,52
13,59
14,50
15,51
16,58
17,59
18,51
19,49
20,46
21,50
22,54
23,48
24,45
25,54
26,51
27,56
28,55
29,61
30,56
31,55
32,53
33,55
34,53
35,55
36,55
37,58
38,57
39,55
40,52
41,44
42,48
43,48
44,48
45,49
46,34
47,46
48,42
49,41
50,44
51,48
52,72
53,60
54,51
55,61
56,54
57,51
58,56
59,57
60,49
61,48
62,50
63,53
64,52
65,58
66,50
67,47
68,49
69,44
70,52
71,47
72,38
73,44
74,54
75,45
76,47
77,50
78,43
79,48
80,46
81,50
82,48
83,45
84,45
85,48
86,44
87,48
88,56
89,51
90,55
91,53
92,46
93,46
94,100
95,56
96,54
97,45
98,51
99,40
100,50
101,46
102,37
103,47
104,72
105,60
106,57
107,50
108,52
109,54
110,61
111,46
112,55
113,50
114,44
115,37
116,44
117,45
118,44
119,44
120,43
121,47
122,38
123,42
124,38
125,39
126,35
127,40
128,44
129,45
130,38
131,38
132,39
133,42
134,40
135,35
136,41
137,38
138,39
139,41
140,39
141,36
142,41
143,43
144,45
145,43
146,41
147,39
148,29
149,40
150,37
151,36
152,37
153,42
154,35
155,31
156,42
